May  9 01:17:01 iv-splv-link CRON[16847]: pam_unix(cron:session): session opened for user root by (uid=0)
May  9 01:17:01 iv-splv-link CRON[16847]: pam_unix(cron:session): session closed for user root
May  9 01:39:01 iv-splv-link CRON[16855]: pam_unix(cron:session): session opened for user root by (uid=0)
May  9 01:39:01 iv-splv-link CRON[16855]: pam_unix(cron:session): session closed for user root
May  9 02:09:01 iv-splv-link CRON[16895]: pam_unix(cron:session): session opened for user root by (uid=0)
May  9 02:09:01 iv-splv-link CRON[16895]: pam_unix(cron:session): session closed for user root
May  9 02:17:01 iv-splv-link CRON[16931]: pam_unix(cron:session): session opened for user root by (uid=0)
May  9 02:17:01 iv-splv-link CRON[16931]: pam_unix(cron:session): session closed for user root
May  9 02:39:01 iv-splv-link CRON[16938]: pam_unix(cron:session): session opened for user root by (uid=0)
May  9 02:39:01 iv-splv-link CRON[16938]: pam_unix(cron:session): session closed for user root
May  9 03:09:01 iv-splv-link CRON[16978]: pam_unix(cron:session): session opened for user root by (uid=0)
May  9 03:09:01 iv-splv-link CRON[16978]: pam_unix(cron:session): session closed for user root
May  9 03:17:01 iv-splv-link CRON[17015]: pam_unix(cron:session): session opened for user root by (uid=0)
May  9 03:17:01 iv-splv-link CRON[17015]: pam_unix(cron:session): session closed for user root
May  9 03:39:01 iv-splv-link CRON[17022]: pam_unix(cron:session): session opened for user root by (uid=0)
May  9 03:39:01 iv-splv-link CRON[17022]: pam_unix(cron:session): session closed for user root
May  9 04:09:01 iv-splv-link CRON[17062]: pam_unix(cron:session): session opened for user root by (uid=0)
May  9 04:09:01 iv-splv-link CRON[17062]: pam_unix(cron:session): session closed for user root
May  9 04:17:01 iv-splv-link CRON[17098]: pam_unix(cron:session): session opened for user root by (uid=0)
May  9 04:17:01 iv-splv-link CRON[17098]: pam_unix(cron:session): session closed for user root
May  9 04:39:01 iv-splv-link CRON[17105]: pam_unix(cron:session): session opened for user root by (uid=0)
May  9 04:39:01 iv-splv-link CRON[17105]: pam_unix(cron:session): session closed for user root
May  9 05:09:01 iv-splv-link CRON[17146]: pam_unix(cron:session): session opened for user root by (uid=0)
May  9 05:09:01 iv-splv-link CRON[17146]: pam_unix(cron:session): session closed for user root
May  9 05:17:01 iv-splv-link CRON[17182]: pam_unix(cron:session): session opened for user root by (uid=0)
May  9 05:17:01 iv-splv-link CRON[17182]: pam_unix(cron:session): session closed for user root
May  9 05:39:01 iv-splv-link CRON[17189]: pam_unix(cron:session): session opened for user root by (uid=0)
May  9 05:39:01 iv-splv-link CRON[17189]: pam_unix(cron:session): session closed for user root
May  9 06:09:01 iv-splv-link CRON[17229]: pam_unix(cron:session): session opened for user root by (uid=0)
May  9 06:09:02 iv-splv-link CRON[17229]: pam_unix(cron:session): session closed for user root
May  9 06:17:01 iv-splv-link CRON[17264]: pam_unix(cron:session): session opened for user root by (uid=0)
May  9 06:17:01 iv-splv-link CRON[17264]: pam_unix(cron:session): session closed for user root
May  9 06:25:01 iv-splv-link CRON[17269]: pam_unix(cron:session): session opened for user root by (uid=0)
