2017/05/22 10:04:49 [error] 545#0: *2670 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined offset: 1 in /var/www/site/vue/admin/pages/projets.php on line 122" while reading upstream, client: 92.103.197.250, server: 10.10.10.156, request: "GET /index.php?page=admin_projets HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "88.177.168.133:2236", referrer: "http://88.177.168.133:2236/index.php?page=admin_utilisateurs"
2017/05/22 10:05:43 [error] 545#0: *2678 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined offset: 1 in /var/www/site/vue/admin/pages/projets.php on line 122" while reading upstream, client: 92.103.197.250, server: 10.10.10.156, request: "GET /index.php?page=admin_projets HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "88.177.168.133:2236", referrer: "http://88.177.168.133:2236/index.php?page=admin_utilisateurs"
2017/05/22 10:42:18 [error] 545#0: *2695 FastCGI sent in stderr: "PHP message: PHP Parse error:  syntax error, unexpected '' (T_ENCAPSED_AND_WHITESPACE), expecting identifier (T_STRING) or variable (T_VARIABLE) or number (T_NUM_STRING) in /var/www/site/controleur/admin_projets.php on line 4" while reading response header from upstream, client: 92.103.197.250, server: 10.10.10.156, request: "GET /index.php?page=admin_projets HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "88.177.168.133:2236", referrer: "http://88.177.168.133:2236/index.php?page=connexion"
2017/05/22 10:42:23 [error] 545#0: *2695 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined offset: 30 in /var/www/site/vue/admin/pages/supervision.php on line 123" while reading upstream, client: 92.103.197.250, server: 10.10.10.156, request: "GET /index.php?page=admin_utilisateurs HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "88.177.168.133:2236", referrer: "http://88.177.168.133:2236/index.php?page=connexion"
2017/05/22 10:42:24 [error] 545#0: *2695 FastCGI sent in stderr: "PHP message: PHP Parse error:  syntax error, unexpected '' (T_ENCAPSED_AND_WHITESPACE), expecting identifier (T_STRING) or variable (T_VARIABLE) or number (T_NUM_STRING) in /var/www/site/controleur/admin_projets.php on line 4" while reading response header from upstream, client: 92.103.197.250, server: 10.10.10.156, request: "GET /index.php?page=admin_projets HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "88.177.168.133:2236", referrer: "http://88.177.168.133:2236/index.php?page=admin_utilisateurs"
2017/05/22 10:46:51 [error] 545#0: *2714 FastCGI sent in stderr: "PHP message: PHP Parse error:  syntax error, unexpected '' (T_ENCAPSED_AND_WHITESPACE), expecting identifier (T_STRING) or variable (T_VARIABLE) or number (T_NUM_STRING) in /var/www/site/controleur/admin_projets.php on line 4" while reading response header from upstream, client: 92.103.197.250, server: 10.10.10.156, request: "GET /index.php?page=admin_projets HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "88.177.168.133:2236", referrer: "http://88.177.168.133:2236/index.php?page=admin_utilisateurs"
2017/05/22 10:48:14 [error] 545#0: *2716 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined offset: 1 in /var/www/site/vue/admin/pages/projets.php on line 123" while reading upstream, client: 92.103.197.250, server: 10.10.10.156, request: "GET /index.php?page=admin_projets HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "88.177.168.133:2236", referrer: "http://88.177.168.133:2236/index.php?page=admin_utilisateurs"
2017/05/22 10:48:55 [error] 545#0: *2716 FastCGI sent in stderr: "PHP message: PHP Parse error:  syntax error, unexpected '' (T_ENCAPSED_AND_WHITESPACE), expecting identifier (T_STRING) or variable (T_VARIABLE) or number (T_NUM_STRING) in /var/www/site/controleur/admin_projets.php on line 4" while reading response header from upstream, client: 92.103.197.250, server: 10.10.10.156, request: "GET /index.php?page=admin_projets HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "88.177.168.133:2236", referrer: "http://88.177.168.133:2236/index.php?page=admin_utilisateurs"
2017/05/22 10:50:56 [error] 545#0: *2726 FastCGI sent in stderr: "PHP message: PHP Parse error:  syntax error, unexpected '' (T_ENCAPSED_AND_WHITESPACE), expecting identifier (T_STRING) or variable (T_VARIABLE) or number (T_NUM_STRING) in /var/www/site/controleur/admin_projets.php on line 4" while reading response header from upstream, client: 92.103.197.250, server: 10.10.10.156, request: "GET /index.php?page=admin_projets HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "88.177.168.133:2236", referrer: "http://88.177.168.133:2236/index.php?page=admin_utilisateurs"
2017/05/22 10:51:15 [error] 545#0: *2726 FastCGI sent in stderr: "PHP message: PHP Parse error:  syntax error, unexpected '' (T_ENCAPSED_AND_WHITESPACE), expecting identifier (T_STRING) or variable (T_VARIABLE) or number (T_NUM_STRING) in /var/www/site/controleur/admin_projets.php on line 10" while reading response header from upstream, client: 92.103.197.250, server: 10.10.10.156, request: "GET /index.php?page=admin_projets HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "88.177.168.133:2236", referrer: "http://88.177.168.133:2236/index.php?page=admin_utilisateurs"
2017/05/22 10:51:17 [error] 545#0: *2726 FastCGI sent in stderr: "PHP message: PHP Parse error:  syntax error, unexpected '' (T_ENCAPSED_AND_WHITESPACE), expecting identifier (T_STRING) or variable (T_VARIABLE) or number (T_NUM_STRING) in /var/www/site/controleur/admin_projets.php on line 10" while reading response header from upstream, client: 92.103.197.250, server: 10.10.10.156, request: "GET /index.php?page=admin_projets HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "88.177.168.133:2236", referrer: "http://88.177.168.133:2236/index.php?page=admin_utilisateurs"
2017/05/22 10:51:48 [error] 545#0: *2726 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined offset: 1 in /var/www/site/vue/admin/pages/projets.php on line 123" while reading upstream, client: 92.103.197.250, server: 10.10.10.156, request: "GET /index.php?page=admin_projets HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "88.177.168.133:2236", referrer: "http://88.177.168.133:2236/index.php?page=admin_utilisateurs"
2017/05/22 10:55:09 [error] 545#0: *2736 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined offset: 1 in /var/www/site/vue/admin/pages/projets.php on line 123" while reading upstream, client: 92.103.197.250, server: 10.10.10.156, request: "GET /index.php?page=admin_projets HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "88.177.168.133:2236", referrer: "http://88.177.168.133:2236/index.php?page=admin_utilisateurs"
2017/05/22 10:57:28 [error] 545#0: *2744 FastCGI sent in stderr: "PHP message: PHP Fatal error:  Cannot use [] for reading in /var/www/site/controleur/admin_projets.php on line 14" while reading response header from upstream, client: 92.103.197.250, server: 10.10.10.156, request: "POST /index.php?page=admin_projets HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "88.177.168.133:2236", referrer: "http://88.177.168.133:2236/index.php?page=admin_projets"
2017/05/22 11:05:44 [error] 545#0: *2756 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined offset: 2 in /var/www/site/vue/admin/pages/projets.php on line 123" while reading upstream, client: 92.103.197.250, server: 10.10.10.156, request: "GET /index.php?page=admin_projets HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "88.177.168.133:2236", referrer: "http://88.177.168.133:2236/index.php?page=admin_utilisateurs"
